region,category,parameter,mode,powertrain,year,unit,value,price,range_km,charging_time,sales_volume,co2_saved,battery_capacity,energy_efficiency,weight_kg,number_of_seats,motor_power,distance_traveled
Australia,Historical,EV stock,Cars,PHEV,2015,Vehicles,2100.0,37360.0,214.88220245974722,6.509845729470605,1989.0,112.18,72.0,363.9621226547261,2192.0,2.0,93.0,99033.0
Australia,Historical,EV stock share,Cars,EV,2015,percent,0.027000000700355,48253.0,107.0,5.37,4876.0,208.69,30.0,280.37,1567.0,5.0,159.0,51813.0
Australia,Historical,EV sales share,Cars,EV,2015,percent,0.200000002980232,44440.0,344.0,11.92,3618.0,489.1426424774572,77.0,223.84,1517.0,6.0,269.0,50171.34724322551
Australia,Historical,EV sales,Cars,BEV,2015,Vehicles,760.0,57685.0,491.0,8.16,2541.1078790821084,497.0468685687849,49.0,69.748702251863,1140.0,3.0,230.0,25518.0
Australia,Historical,EV stock,Cars,BEV,2015,Vehicles,1500.0,54763.46854613979,348.0,8.72,524.0,72.94,59.09140194454832,218.319983440801,1372.0,3.0,185.0,92281.0
Australia,Historical,EV stock,Cars,BEV,2016,Vehicles,2200.0,44777.0,369.0,11.21,2538.856278422731,364.5547593516549,91.0,246.61,1960.0,4.503874320066337,134.0,92966.0
Australia,Historical,EV sales,Cars,BEV,2016,Vehicles,670.0,55256.77934031047,240.0,6.487483962722926,3522.0,338.11,32.0,133.33,1869.0,5.0,186.66157889316614,6276.0
Australia,Historical,EV sales share,Cars,EV,2016,percent,0.150000005960464,49278.0,330.0,6.457065009824877,306.0,40.39,87.0,263.64,1343.0,3.0,159.0,31821.0
Australia,Historical,EV stock share,Cars,EV,2016,percent,0.037000000476837,41226.0,515.0,6.427745716392685,4259.0,877.35,55.724259307064926,81.55,1546.0,7.0,147.0,50868.0
Australia,Historical,EV stock,Cars,PHEV,2016,Vehicles,2800.0,62894.0,321.0,6.5,2847.645094403174,364.01,80.0,249.22,1750.745346206233,5.0,186.20087696181295,83948.0
Australia,Historical,EV sales,Cars,PHEV,2016,Vehicles,700.0,35728.0,437.0,10.21,4193.189074182994,703.57,29.0,32.1558625705448,1431.0,7.0,255.0,25427.0
Australia,Historical,EV sales,Cars,PHEV,2017,Vehicles,1100.0,71586.0,295.0,5.45,4559.0,537.96,75.0,254.24,1192.0,2.0,171.0,30167.0
Australia,Historical,EV stock,Cars,PHEV,2017,Vehicles,3900.0,47182.0,369.62229056298906,3.58,3493.0,500.2,54.77280702748658,173.18,1153.0,6.0,131.0,14346.0
Australia,Historical,EV stock share,Cars,EV,2017,percent,0.052000001072884,55251.07898147755,110.0,6.4928191199153,3448.0,151.71,91.0,827.27,1747.0096365552893,6.0,251.0,8549.0
Australia,Historical,EV sales share,Cars,EV,2017,percent,0.259999990463257,54955.74545577091,591.0,6.450894569143558,1808.0,427.41,61.0,29.55232881305244,2284.0,5.0,180.0,86308.0
Australia,Historical,EV charging points,EV,Publicly available fast,2017,charging points,40.0,55038.64508289822,536.0,4.61,2013.406443300235,457.74,88.0,164.18,1615.0,3.0,108.0,11657.0
Australia,Historical,EV charging points,EV,Publicly available slow,2017,charging points,440.0,46786.0,386.0,8.21,504.0,77.82,52.2774331712902,150.26,1164.0,2.0,248.0,50171.1544004633
Australia,Historical,EV sales,Cars,BEV,2017,Vehicles,1200.0,55413.21565635451,476.0,11.21,4933.0,939.24,56.58347031986406,115.55,1748.2614782272394,2.0,268.0,50167.814965585676
Australia,Historical,EV stock,Cars,BEV,2017,Vehicles,3400.0,68928.0,154.0,6.99,3586.0,220.9,34.0,220.78,1148.0,3.0,81.0,64177.0
Australia,Historical,EV stock,Cars,BEV,2018,Vehicles,5200.0,40850.0,331.0,6.474357218026138,716.0,94.8,57.73853212758793,224.16526580091278,1791.0,6.0,120.0,64297.0
Australia,Historical,EV sales,Cars,BEV,2018,Vehicles,1800.0,50339.0,404.2998537912997,8.61,2544.1896546191224,408.19263647297436,86.0,260.61,1634.0,4.4803027553966785,187.08220621920597,75436.0
Australia,Historical,EV charging points,EV,Publicly available fast,2018,charging points,61.0,75217.0,141.0,3.81,1470.0,82.91,40.0,283.69,1740.0,6.0,241.0,85957.0
Australia,Historical,EV charging points,EV,Publicly available slow,2018,charging points,670.0,61926.0,475.0,1.32,2400.0,456.0,90.0,189.47,1966.0,5.0,186.31837574312317,70709.0
Australia,Historical,EV sales share,Cars,EV,2018,percent,0.419999986886978,42010.0,198.0,5.68,3611.0,285.99,56.539174688564,308.98907491663283,1746.0430206873127,7.0,159.0,26340.0
Australia,Historical,EV stock share,Cars,EV,2018,percent,0.076999999582768,37779.0,496.0,3.38,3030.163306855831,583.89,72.0,145.16,2137.0,4.492920938764074,115.0,26221.0
Australia,Historical,EV stock,Cars,PHEV,2018,Vehicles,5700.0,55398.3564848743,225.0,6.547475945431584,4654.0,418.86,46.0,245.21078656934137,1661.0,3.0,288.0,21566.0
Australia,Historical,EV sales,Cars,PHEV,2018,Vehicles,1800.0,59820.0,375.3286939264162,10.43,1868.0,268.24,50.0,139.28,1243.0,4.0,128.0,88457.0
Australia,Historical,EV sales,Cars,PHEV,2019,Vehicles,2900.0,30381.0,410.0,11.57,1928.2925324105222,316.03,47.0,114.63,1091.0,4.5027195695589635,251.0,50175.8616105501
Australia,Historical,EV stock,Cars,PHEV,2019,Vehicles,8600.0,75517.0,285.0,4.59,2865.0,326.61,58.687846977765474,257.1974631176663,2364.0,3.0,287.0,48799.0
Australia,Historical,EV stock share,Cars,EV,2019,percent,0.140000000596046,40674.0,497.0,2.93,235.0,46.72,72.0,144.87,1747.1591172240987,4.554461001541084,201.0,45354.0
Australia,Historical,EV sales share,Cars,EV,2019,percent,1.20000004768372,50543.0,425.0,3.49,1648.0,280.16,79.0,185.88,1840.0,4.0,187.1226255258107,45958.0
Australia,Historical,EV charging points,EV,Publicly available slow,2019,charging points,1700.0,44842.0,552.0,2.51,1627.0,359.24,86.0,155.8,1129.0,5.0,187.5046119241888,60405.0
Australia,Historical,EV sales,Cars,BEV,2019,Vehicles,6300.0,36934.0,427.41381997935025,6.4935125333810175,2588.0,453.42,48.0,109.59,1746.4680600027464,4.0,188.00837759223762,50173.783059291694
Australia,Historical,EV stock,Cars,BEV,2019,Vehicles,12000.0,55314.74060709524,197.0,6.545238905956633,4078.0,321.35,64.0,324.87,1337.0,5.0,280.0,21816.0
Australia,Historical,EV stock,Cars,BEV,2020,Vehicles,17000.0,39063.0,532.0,5.65,4352.5286832290785,831.84,66.35554225359515,118.42,1746.8578607483746,6.0,281.0,62813.0
Australia,Historical,EV sales,Cars,BEV,2020,Vehicles,5200.0,78827.0,446.25699898912643,6.456092101871087,805.8704310660817,171.27,74.0,140.68,1376.0,3.0,273.0,81716.0
Australia,Historical,EV charging points,EV,Publicly available slow,2020,charging points,2300.0,55041.20317703563,106.0,9.61,2161.0,90.72851721529787,89.0,839.62,1847.0,7.0,202.0,50168.41017018084
Australia,Historical,EV sales share,Cars,EV,2020,percent,1.10000002384186,55294.0,435.1679548104107,2.32,1985.4375040794635,351.83,82.0,206.03,2021.0,3.0,186.78041075923608,34492.0
Australia,Historical,EV stock share,Cars,EV,2020,percent,0.180000007152557,67286.0,455.0,11.6,1120.0,203.84,25.0,54.95,1741.0,7.0,227.0,94136.0
Australia,Historical,EV stock,Cars,PHEV,2020,Vehicles,10000.0,77562.0,220.0,6.4697031268461656,4052.0,425.2614317389328,32.0,145.45,1215.0,4.505856228227257,206.0,50161.282741665025
Australia,Historical,EV sales,Cars,PHEV,2020,Vehicles,1700.0,49289.0,572.0,6.88,241.0,55.14,64.81415451684818,47.182576206862564,1489.0,7.0,211.0,50170.444913330386
Australia,Historical,EV sales,Cars,PHEV,2021,Vehicles,3400.0,46039.0,328.0,6.65,3605.0,478.7060427650226,55.0,167.68,1747.918576446779,2.0,218.0,65160.0
Australia,Historical,EV stock,Cars,PHEV,2021,Vehicles,14000.0,55163.64517189323,517.0,11.08,2841.0937835673685,579.04,64.0,123.79,2382.0,2.0,191.0,11676.0
Australia,Historical,EV stock,Cars,FCEV,2021,Vehicles,44.0,77833.0,517.0,11.09,3667.0,758.34,97.0,187.62,2041.0,5.0,294.0,51813.0
Australia,Historical,EV stock share,Cars,EV,2021,percent,0.319999992847443,39358.0,485.0,6.87,2809.8427957505305,539.51,44.0,90.72,1055.0,6.0,217.0,50173.00388505839
Australia,Historical,EV sales share,Cars,EV,2021,percent,2.79999995231628,34908.0,460.0,7.25,639.0,117.58,53.63017012722317,93.48,2086.0,4.548919253449297,93.0,10632.0
Australia,Historical,EV charging points,EV,Publicly available fast,2021,charging points,320.0,66088.0,128.0,6.48503818965524,3644.0,186.57,79.0,617.19,1751.4834093938575,5.0,132.0,97835.0
Australia,Historical,EV charging points,EV,Publicly available slow,2021,charging points,2000.0,62955.0,259.90451091904055,2.11,1316.0,95.95259267733621,56.0,294.74,2348.0,2.0,223.0,50166.162351044186
Australia,Historical,EV sales,Cars,BEV,2021,Vehicles,17000.0,32787.0,463.0,6.490946124546502,3817.0,706.91,59.0,127.43,1835.0,4.0,170.0,88179.0
Australia,Historical,EV stock,Cars,BEV,2021,Vehicles,34000.0,73191.0,296.0,2.02,1839.0,192.70386763298603,53.0,179.05,1878.0,2.0,87.0,5389.0
Australia,Historical,EV sales,Cars,FCEV,2021,Vehicles,44.0,41908.0,224.0,10.08,1624.0,145.51,90.0,401.79,1299.0,6.0,236.0,69399.0
Australia,Historical,EV sales,Cars,FCEV,2022,Vehicles,15.0,54837.0,327.0,3.42,805.0,105.29,61.0,186.54,1288.0,4.493541475331482,186.8288450048321,6200.0
Australia,Historical,EV stock,Cars,BEV,2022,Vehicles,67000.0,55954.0,525.0,6.419228918375999,3699.0,776.79,74.0,140.95,1848.0,4.466000749984493,188.0,81159.0
Australia,Historical,EV sales,Cars,BEV,2022,Vehicles,33000.0,55039.67166088669,515.0,10.29,2520.338611137607,533.3277143925332,36.0,69.9,1270.0,4.0,91.0,89714.0
Australia,Historical,EV sales share,Cars,EV,2022,percent,5.09999990463257,41478.0,187.0,2.77,3802.0,284.39,64.0,342.25,2035.0,3.0,139.0,69215.0
Australia,Historical,EV stock,Cars,FCEV,2022,Vehicles,100.0,77185.0,454.0,2.57,4269.0,775.25,73.0,160.79,1289.0,4.0,231.0,16017.0
Australia,Historical,EV stock,Cars,PHEV,2022,Vehicles,21000.0,37807.0,136.0,6.507568734118843,1564.0,85.08,99.0,727.94,1748.2439893229866,2.0,214.0,91789.0
Australia,Historical,EV sales,Cars,PHEV,2022,Vehicles,5900.0,35272.0,262.0,6.498799530953539,2936.0,313.5375947001041,92.0,351.15,2105.0,6.0,113.0,77544.0
Australia,Historical,EV stock share,Cars,EV,2022,percent,0.589999973773956,39087.0,591.0,6.478680012841733,59.0,13.95,74.99067714083444,96.45,1746.5967627202388,2.0,84.0,34177.0
Australia,Historical,EV charging points,EV,Publicly available fast,2022,charging points,470.0,55189.69565685209,194.0,11.06,3391.412117216816,324.68,36.0,185.57,2281.0,4.553644939303476,185.0,75083.0
Australia,Historical,EV charging points,EV,Publicly available slow,2022,charging points,2100.0,31431.0,235.84111042978697,10.9,1030.0,58.92,42.0,293.71,1390.0,4.0,220.0,50175.704744907496
Australia,Historical,EV charging points,EV,Publicly available fast,2023,charging points,660.0,76745.0,378.6947553025911,2.41,2645.0,408.39,60.0,192.452813841243,1988.0,6.0,132.0,43565.0
Australia,Historical,EV charging points,EV,Publicly available slow,2023,charging points,2100.0,63744.0,579.0,6.338383483550372,3136.0,726.3,21.0,36.27,1748.1620097371226,7.0,86.0,10732.0
Australia,Historical,EV stock share,Cars,EV,2023,percent,1.20000004768372,54963.33923764863,127.0,6.497718485925759,1761.0,89.46,80.0,629.92,1781.0,6.0,278.0,72522.0
Australia,Historical,EV sales,Cars,PHEV,2023,Vehicles,11000.0,55239.03348889439,161.3726244145634,6.85,3765.0,272.59,58.0,320.44,1984.0,5.0,286.0,73233.0
Australia,Historical,EV stock,Cars,PHEV,2023,Vehicles,31000.0,60289.0,424.0,7.35,2284.0,387.37,83.0,252.4773446066235,1095.0,3.0,272.0,97812.0
Australia,Historical,EV stock,Cars,FCEV,2023,Vehicles,65.0,32631.0,556.0,4.61,1914.0,425.67,45.0,80.94,1366.0,4.515312596576508,282.0,69020.0
Australia,Historical,EV sales share,Cars,EV,2023,percent,12.0,46476.0,249.0,3.41,1210.2986896488017,28.19,91.0,365.46,1046.0,4.0,252.0,50171.13374779782
Australia,Historical,EV sales,Cars,BEV,2023,Vehicles,87000.0,54934.72238588464,345.0,6.452998917464551,1708.0,235.7,28.0,81.16,2015.0,6.0,80.0,94486.0
Australia,Historical,EV stock,Cars,BEV,2023,Vehicles,150000.0,54906.10640761049,368.0,4.71,1454.0,211.3846264844023,66.0,179.35,1417.0,5.0,231.0,75234.0
Australia,Historical,EV sales,Cars,FCEV,2023,Vehicles,6.0,47561.0,554.0,4.33,4752.0,878.6432681048373,82.0,148.01,1141.0,2.0,193.0,70227.0
Austria,Historical,EV stock,Cars,BEV,2010,Vehicles,350.0,66635.0,274.0,1.19,3706.0,406.18,44.877347573959554,186.13,1381.0,5.0,252.0,96605.0
Austria,Historical,EV stock share,Cars,EV,2010,percent,0.00789999961853,42357.0,432.0,11.4,1120.8396918602023,208.22,74.0,171.3,1376.0,4.0,173.0,72678.0
Austria,Historical,EV stock share,Cars,EV,2011,percent,0.021999999880791,64589.0,435.0,10.2,1715.0,298.41,70.73118121203032,209.2,1711.0,5.0,186.15356219823354,61985.0
Austria,Historical,EV charging points,EV,Publicly available fast,2011,charging points,0.100000001490116,52279.0,363.0,6.86,1280.0,176.52083125000792,85.0,234.16,1747.5989493473878,4.0,228.0,23990.0
Austria,Historical,EV charging points,EV,Publicly available slow,2011,charging points,0.100000001490116,30440.0,287.0,9.19,2976.0,341.64,56.0,195.12,2230.0,3.0,250.0,99293.0
Austria,Historical,EV stock,Cars,BEV,2011,Vehicles,990.0,75596.0,396.0,6.14,3558.0,540.8813058154792,68.0,171.72,1487.0,4.0,203.0,64873.0
Austria,Historical,EV stock,Cars,BEV,2012,Vehicles,1400.0,76093.0,563.0,6.91,1312.0,295.46,70.0,82.76739956022189,2146.0,3.0,185.4100598458225,26602.0
Austria,Historical,EV stock,Cars,PHEV,2012,Vehicles,140.0,52609.0,255.96560117574631,7.6,1197.0,96.72,95.0,470.3,1754.0,3.0,244.0,64991.0
Austria,Historical,EV charging points,EV,Publicly available fast,2012,charging points,0.100000001490116,51481.0,338.0,2.04,2403.433018690545,321.91,40.0,118.34,1965.0,7.0,291.0,90532.0
Austria,Historical,EV charging points,EV,Publicly available slow,2012,charging points,0.100000001490116,72024.0,450.0578594591499,6.79,3532.0,614.57,53.05345368098858,101.15,2466.0,7.0,250.0,70370.0
Austria,Historical,EV stock share,Cars,EV,2012,percent,0.032999999821186,61993.0,594.0,4.94,4623.0,1098.42,59.0,99.33,1747.0,5.0,119.0,59486.0
Austria,Historical,EV stock share,Cars,EV,2013,percent,0.052999999374151,57408.0,417.0,3.16,2294.0,382.64,95.0,299.54679530837586,2139.0,5.0,120.0,50462.0
Austria,Historical,EV sales share,Cars,EV,2013,percent,0.200000002980232,56945.0,371.0,2.74,4124.0,612.0,85.0,229.11,1749.6130231650527,5.0,207.0,78641.0
Austria,Historical,EV charging points,EV,Publicly available fast,2013,charging points,0.100000001490116,72924.0,295.0,5.84,4268.0,503.62,61.0,255.51271552192938,1752.2542868149296,5.0,154.0,99519.0
Austria,Historical,EV charging points,EV,Publicly available slow,2013,charging points,0.100000001490116,55336.97894657242,364.0,2.5,4135.0,602.06,83.0,228.02,2014.0,3.0,186.64321288520128,15605.0
Austria,Historical,EV stock,Cars,PHEV,2013,Vehicles,410.0,47546.0,286.0,8.48,3864.0,477.49930995468236,47.0,212.18864054807858,1748.759097087703,7.0,261.0,84809.0
Austria,Historical,EV stock,Cars,BEV,2013,Vehicles,2100.0,42250.0,447.0,3.4,3207.0,573.41,66.0,147.65,1557.0,7.0,199.0,56591.0
Austria,Historical,EV sales,Cars,BEV,2013,Vehicles,650.0,32505.0,112.0,4.16,1372.0,61.47,80.0,714.29,1559.0,5.0,86.0,5977.0
Austria,Historical,EV sales,Cars,BEV,2014,Vehicles,1700.0,54743.49406450627,192.0,2.01,99.0,7.6,86.0,454.785578777192,1067.0,7.0,145.0,45591.0
Austria,Historical,EV stock,Cars,BEV,2014,Vehicles,3400.0,42213.0,504.0,6.51766978856607,2649.0,534.04,39.0,77.38,1748.8252514165142,6.0,262.0,98576.0
Austria,Historical,EV sales,Cars,FCEV,2014,Vehicles,6.0,42344.0,505.0,6.472016958840916,1743.0,352.09,58.0,114.85,1278.0,6.0,89.0,92701.0
Austria,Historical,EV stock,Cars,FCEV,2014,Vehicles,3.0,55015.53718170923,548.0,2.23,2045.997059282832,492.98,53.0,96.72,2027.0,6.0,215.0,50168.4215490847
Austria,Historical,EV stock,Cars,PHEV,2014,Vehicles,780.0,55026.607108107135,335.0,5.4,2277.0,305.12,32.0,95.52,1867.0,7.0,271.0,74340.0
Austria,Historical,EV charging points,EV,Publicly available fast,2014,charging points,0.100000001490116,55059.00682996259,176.0,9.52,2632.0,185.29,21.0,119.32,1955.0,6.0,238.0,98404.0
Austria,Historical,EV charging points,EV,Publicly available slow,2014,charging points,0.100000001490116,56810.0,470.0,7.36,2078.0,390.66,73.0,155.32,1862.0,3.0,186.68880365427452,84908.0
Austria,Historical,EV sales share,Cars,EV,2014,percent,0.569999992847443,60079.0,409.0,1.6,3538.035097018803,575.71,45.0,110.02,2231.0,2.0,284.0,4644.0
Austria,Historical,EV stock share,Cars,EV,2014,percent,0.089000001549721,54787.15707113564,315.24627412295195,4.93,567.0,53.98,94.0,394.96,1926.0,2.0,245.0,83001.0
Austria,Historical,EV stock share,Cars,EV,2015,percent,0.140000000596046,30681.0,456.7366819835272,3.04,3747.2711264721993,656.08,54.0,120.27,1124.0,4.461415733367163,188.35743643155982,68012.0
Austria,Historical,EV sales share,Cars,EV,2015,percent,0.899999976158142,47588.0,298.0,4.53,3311.0,394.67,35.0,117.45,2345.0,4.0,221.0,90162.0
Austria,Historical,EV charging points,EV,Publicly available fast,2015,charging points,0.100000001490116,56328.0,211.0,11.78,1893.0,159.77,80.0,379.15,1153.0,4.0,278.0,69996.0
Austria,Historical,EV charging points,EV,Publicly available slow,2015,charging points,0.100000001490116,54811.67625301617,248.0,10.38,581.0,57.64,39.0,157.26,1748.9733911280578,3.0,219.0,50168.73077827727
Austria,Historical,EV stock,Cars,PHEV,2015,Vehicles,1500.0,54977.33557529363,272.0,10.47,1708.0,185.83,57.272425086028434,267.9707085169273,1748.443660775583,4.0,144.0,40562.0
Austria,Historical,EV stock,Cars,FCEV,2015,Vehicles,6.0,48210.0,581.0,4.53,3393.0,788.53,22.0,37.87,1747.8559030505296,3.0,187.21488425009375,55326.0
Austria,Historical,EV sales,Cars,FCEV,2015,Vehicles,4.0,30526.0,540.0,4.69,2837.0,612.79,85.0,157.41,2347.0,4.509673071038718,230.0,95.0
Austria,Historical,EV sales,Cars,PHEV,2015,Vehicles,1100.0,62763.0,236.0,10.04,2985.0,281.78,29.0,122.88,1748.3518310663176,4.0,239.0,18187.0
Austria,Historical,EV stock,Cars,BEV,2015,Vehicles,5000.0,44655.0,181.0,7.54,2815.049262156977,220.89,69.0,381.22,1203.0,7.0,188.0,89996.0
Austria,Historical,EV sales,Cars,BEV,2015,Vehicles,1700.0,54383.0,435.0,4.36,1627.181542546401,303.98,57.640564728152455,140.23,2295.0,2.0,147.0,60370.0
Austria,Historical,EV sales,Cars,BEV,2016,Vehicles,3800.0,31271.0,535.0,6.480629892135723,60.0,12.84,52.0,97.2,1789.0,5.0,92.0,3718.0
Austria,Historical,EV stock,Cars,BEV,2016,Vehicles,9100.0,55126.38629049352,260.0,10.29,2746.0,281.81099825845234,78.0,300.0,1748.0944890187034,2.0,75.0,35500.0
Austria,Historical,EV sales,Cars,PHEV,2016,Vehicles,1200.0,54823.0,537.0,7.49,4953.0,1063.9,47.0,87.52,1193.0,2.0,122.0,73139.0
Austria,Historical,EV stock,Cars,FCEV,2016,Vehicles,13.0,41500.0,394.0,8.44,4820.0,721.0152401922469,81.0,205.58,2444.0,5.0,209.0,88993.0
Austria,Historical,EV stock,Cars,PHEV,2016,Vehicles,2300.0,55066.083074856506,462.0,4.08,2381.0,440.01,67.0,145.02,1759.0,4.493205422072549,131.0,42984.0
Austria,Historical,EV charging points,EV,Publicly available fast,2016,charging points,0.100000001490116,32105.0,150.0,6.467617482704688,311.0,18.66,70.0,466.67,1598.0,7.0,166.0,28861.0
Austria,Historical,EV charging points,EV,Publicly available slow,2016,charging points,0.100000001490116,63008.0,496.1503123536877,2.16,3572.0,684.4,73.0,152.4,2475.0,7.0,155.0,62784.0
Austria,Historical,EV sales share,Cars,EV,2016,percent,1.5,79442.0,150.0,4.92,2329.0,139.74,86.0,470.9891740613789,1165.0,4.0,212.0,23064.0
Austria,Historical,EV stock share,Cars,EV,2016,percent,0.239999994635582,55075.41056004178,289.29637960526753,4.47,2474.0,249.38,95.0,376.98,1667.0,7.0,142.0,50168.336438942235
Austria,Historical,EV stock share,Cars,EV,2017,percent,0.379999995231628,48980.0,514.0,6.429803686701377,3447.0,708.7,92.0,178.99,1133.0,6.0,103.0,99177.0
Austria,Historical,EV sales share,Cars,EV,2017,percent,2.0,50559.0,275.0,6.4267878809958,3376.0,371.36,96.0,349.09,1987.0,2.0,81.0,10282.0
Austria,Historical,EV charging points,EV,Publicly available fast,2017,charging points,0.100000001490116,53742.0,344.519741207149,10.36,1238.6075383219884,143.4,27.0,70.5,1749.0810674570805,2.0,248.0,60028.0
Austria,Historical,EV charging points,EV,Publicly available slow,2017,charging points,0.100000001490116,55040.04839715395,253.0,5.75,2463.0,249.26,52.0,205.53,1963.0,4.526639724732009,135.0,94874.0
Austria,Historical,EV stock,Cars,PHEV,2017,Vehicles,3900.0,53050.0,186.0,5.95,482.0,35.86,89.0,478.49,1748.3456628891934,4.415495973662779,80.0,38266.0
Austria,Historical,EV stock,Cars,FCEV,2017,Vehicles,19.0,42047.0,585.0,6.435536374701992,2680.0,627.12,91.0,155.56,1715.0,7.0,219.0,11243.0
Austria,Historical,EV sales,Cars,FCEV,2017,Vehicles,2.0,50971.0,140.0,3.47,2704.881404545354,164.64,57.0,364.44443255894885,1748.1340927522206,3.0,130.0,50169.53951288757
Austria,Historical,EV sales,Cars,PHEV,2017,Vehicles,1700.0,78314.0,394.0,5.03,195.34533525406823,23.64,67.0,170.05,1383.0,4.0,77.0,74796.0
Austria,Historical,EV stock,Cars,BEV,2017,Vehicles,15000.0,79531.0,323.0,5.69,3027.0,391.09,51.0,157.89,1288.0,4.497233069507667,198.0,72525.0
Austria,Historical,EV sales,Cars,BEV,2017,Vehicles,5400.0,59615.0,304.0,6.449495179722785,1477.0,152.3980735051636,54.0,228.29445857604526,1320.0,5.0,153.0,30527.0
Austria,Historical,EV sales,Cars,BEV,2018,Vehicles,6800.0,54802.59968216912,418.06493512261704,9.94,595.0,140.66,43.44964873593574,76.14,2289.0,3.0,187.0,70414.0
Austria,Historical,EV stock,Cars,BEV,2018,Vehicles,21000.0,55450.92607364715,295.0,11.0,4868.0,574.42,87.0,353.9340088132919,2083.0,5.0,123.0,4500.0
Austria,Historical,EV sales,Cars,PHEV,2018,Vehicles,2300.0,72307.0,489.0,3.54,1508.0,352.6114764217378,74.72688987632603,194.27,1331.0,4.455945790838201,132.0,40646.0
