region,category,parameter,mode,powertrain,year,unit,value,price,range_km,charging_time,sales_volume,co2_saved,battery_capacity,energy_efficiency,weight_kg,number_of_seats,motor_power,distance_traveled,Vendedor,Región,Ventas,Costos,Fecha_Venta,Metodo_Pago,Ganancia,Rentabilidad,Costo_Por_Venta
Australia,Historical,EV sales,Cars,PHEV,2013,Vehicles,100.0,31887.0,288.0,6.53902044972882,870.0,100.22,66.0,229.17,1075.0,5.0,169.0,92882.0,Ana,Sur,495,322.5236800055072,2024-09-22 22:05:04.269205,Efectivo,172.47631999449283,Media,0.6515629899101155
Australia,Historical,EV stock,Cars,PHEV,2013,Vehicles,180.0,48837.0,224.0,5.66,330.0,29.57,42.0,254.281536651851,2294.0,3.0,165.0,66440.0,Carlos,Oeste,285,229.86904043980252,2024-10-07 22:05:04.269205,Tarjeta de Crédito,55.13095956019748,Baja,0.806558036630886
Australia,Historical,EV stock share,Cars,EV,2013,percent,0.004600000102073,37193.0,370.0,6.500379787722199,2814.0,416.1635699890318,28.0,75.68,1374.0,3.0,82.0,93075.0,Carlos,Este,221,197.84470221270226,2024-10-08 22:05:04.269205,Efectivo,23.15529778729774,Baja,0.8952248968900555
Australia,Historical,EV sales share,Cars,EV,2013,percent,0.034000001847744,77564.0,339.0,5.98,2548.0,345.51,41.0,120.94,2288.0,6.0,285.0,38683.0,Luis,Norte,361,284.61856310520596,2024-09-24 22:05:04.269205,Transferencia,76.38143689479404,Baja,0.7884170723135899
Australia,Historical,EV sales,Cars,BEV,2013,Vehicles,190.0,57706.0,441.0,5.44,3043.0,536.79,90.0,204.08,1522.0,2.0,133.0,50167.43975892908,Pedro,Norte,107,87.7153262706506,2024-10-11 22:05:04.269205,Efectivo,19.284673729349393,Baja,0.8197694043986038
Australia,Historical,EV stock,Cars,BEV,2013,Vehicles,410.0,54785.0,454.0,2.9,2864.0,508.58336105411416,61.64072859489888,143.90407147566188,1748.1714558659576,5.0,122.0,39476.0,Ana,Norte,154,107.34990350589001,2024-10-02 22:05:04.269205,Tarjeta de Crédito,46.65009649410999,Baja,0.6970772954927923
Australia,Historical,EV stock,Cars,BEV,2014,Vehicles,780.0,70891.0,135.0,1.58,2372.0,128.09,71.0,525.93,1262.0,7.0,185.6048165002036,30289.0,Pedro,Norte,446,390.44799351062863,2024-10-15 22:05:04.269205,Tarjeta de Crédito,55.552006489371365,Baja,0.8754439316381808
Australia,Historical,EV sales,Cars,BEV,2014,Vehicles,370.0,64191.0,159.0,10.1,2337.797297281553,127.84,61.0,383.65,2221.0,4.0,112.0,22130.0,Maria,Norte,237,211.37266486054648,2024-09-27 22:05:04.269205,Tarjeta de Crédito,25.62733513945352,Baja,0.8918677842217151
Australia,Historical,EV sales share,Cars,EV,2014,percent,0.159999996423721,55340.573362102485,169.0,5.33,4450.0,300.82,103.5496447521456,573.96,1748.8613758459237,3.0,233.0,64675.0,Carlos,Oeste,176,124.45754596635167,2024-10-02 22:05:04.269205,Tarjeta de Crédito,51.542454033648326,Baja,0.707145147536089
Australia,Historical,EV stock share,Cars,EV,2014,percent,0.014000000432134,45361.0,122.0,5.24,3831.0,186.95,83.0,680.33,2490.0,3.0,262.0,85495.0,Ana,Sur,152,92.58181586191554,2024-10-16 22:05:04.269205,Transferencia,59.418184138084456,Baja,0.6090908938283918
Australia,Historical,EV stock,Cars,PHEV,2014,Vehicles,1100.0,50913.0,545.0,11.77,2016.0,439.49,79.0,144.95,1629.0,4.509271428301091,278.0,32812.0,Ana,Este,309,235.82037079650692,2024-10-08 22:05:04.269205,Efectivo,73.17962920349308,Baja,0.7631727210242942
Australia,Historical,EV sales,Cars,PHEV,2014,Vehicles,950.0,55352.2448571965,353.5595323561901,5.65,4694.0,659.04,93.0,341.24359390783184,1175.0,6.0,171.0,78075.0,Ana,Norte,354,258.3006269114044,2024-10-05 22:05:04.269205,Efectivo,95.69937308859562,Baja,0.7296627878853231
Australia,Historical,EV sales,Cars,PHEV,2015,Vehicles,1000.0,41715.0,193.0,4.47,3253.0,251.13,56.93950346363842,319.9174799713073,1884.0,2.0,187.5963543083685,16217.0,Maria,Oeste,230,150.20646891622027,2024-09-26 22:05:04.269205,Efectivo,79.79353108377973,Baja,0.6530716039835665
Australia,Historical,EV stock,Cars,PHEV,2015,Vehicles,2100.0,37360.0,214.8822024597472,6.509845729470605,1989.0,112.18,72.0,363.9621226547261,2192.0,2.0,93.0,99033.0,Pedro,Oeste,403,283.74241491709023,2024-10-09 22:05:04.269205,Tarjeta de Crédito,119.25758508290977,Media,0.7040754712582884
Australia,Historical,EV stock share,Cars,EV,2015,percent,0.027000000700355,48253.0,107.0,5.37,4876.0,208.69,30.0,280.37,1567.0,5.0,159.0,51813.0,Luis,Este,102,87.29919086050926,2024-10-07 22:05:04.269205,Tarjeta de Crédito,14.700809139490744,Baja,0.8558744202010712
Australia,Historical,EV sales share,Cars,EV,2015,percent,0.200000002980232,44440.0,344.0,11.92,3618.0,489.1426424774572,77.0,223.84,1517.0,6.0,269.0,50171.34724322551,Carlos,Este,446,344.5964269558724,2024-10-04 22:05:04.269205,Efectivo,101.4035730441276,Media,0.7726377286006108
Australia,Historical,EV sales,Cars,BEV,2015,Vehicles,760.0,57685.0,491.0,8.16,2541.1078790821084,497.0468685687849,49.0,69.748702251863,1140.0,3.0,230.0,25518.0,Carlos,Norte,438,281.45489363975133,2024-09-28 22:05:04.269205,Tarjeta de Crédito,156.54510636024867,Media,0.6425910813692953
Australia,Historical,EV stock,Cars,BEV,2015,Vehicles,1500.0,54763.46854613979,348.0,8.72,524.0,72.94,59.09140194454832,218.319983440801,1372.0,3.0,185.0,92281.0,Luis,Norte,348,253.40012996656398,2024-10-13 22:05:04.269205,Tarjeta de Crédito,94.59987003343602,Baja,0.7281612930073678
Australia,Historical,EV stock,Cars,BEV,2016,Vehicles,2200.0,44777.0,369.0,11.21,2538.856278422731,364.5547593516549,91.0,246.61,1960.0,4.503874320066337,134.0,92966.0,Maria,Sur,307,211.07282026655005,2024-10-09 22:05:04.269205,Efectivo,95.92717973344995,Baja,0.6875336165034204
Australia,Historical,EV sales,Cars,BEV,2016,Vehicles,670.0,55256.77934031047,240.0,6.487483962722926,3522.0,338.11,32.0,133.33,1869.0,5.0,186.6615788931661,6276.0,Maria,Este,287,215.61743254345137,2024-09-30 22:05:04.269205,Tarjeta de Crédito,71.38256745654863,Baja,0.751280252764639
Australia,Historical,EV sales share,Cars,EV,2016,percent,0.150000005960464,49278.0,330.0,6.457065009824877,306.0,40.39,87.0,263.64,1343.0,3.0,159.0,31821.0,Luis,Norte,409,301.34937194272146,2024-09-22 22:05:04.269205,Tarjeta de Crédito,107.65062805727854,Media,0.7367955304223018
Australia,Historical,EV stock share,Cars,EV,2016,percent,0.037000000476837,41226.0,515.0,6.427745716392685,4259.0,877.35,55.724259307064926,81.55,1546.0,7.0,147.0,50868.0,Ana,Este,172,118.79213291661111,2024-09-20 22:05:04.269205,Tarjeta de Crédito,53.20786708338889,Baja,0.6906519355616925
Australia,Historical,EV stock,Cars,PHEV,2016,Vehicles,2800.0,62894.0,321.0,6.5,2847.645094403174,364.01,80.0,249.22,1750.745346206233,5.0,186.20087696181292,83948.0,Carlos,Sur,236,201.27887920773193,2024-10-13 22:05:04.269205,Tarjeta de Crédito,34.72112079226807,Baja,0.8528766068124235
Australia,Historical,EV sales,Cars,PHEV,2016,Vehicles,700.0,35728.0,437.0,10.21,4193.189074182994,703.57,29.0,32.1558625705448,1431.0,7.0,255.0,25427.0,Carlos,Este,302,256.1362930091391,2024-10-13 22:05:04.269205,Tarjeta de Crédito,45.86370699086092,Baja,0.8481334205600631
Australia,Historical,EV sales,Cars,PHEV,2017,Vehicles,1100.0,71586.0,295.0,5.45,4559.0,537.96,75.0,254.24,1192.0,2.0,171.0,30167.0,Ana,Sur,334,218.58357568317092,2024-10-01 22:05:04.269205,Efectivo,115.41642431682908,Media,0.6544418433627872
Australia,Historical,EV stock,Cars,PHEV,2017,Vehicles,3900.0,47182.0,369.62229056298906,3.58,3493.0,500.2,54.77280702748658,173.18,1153.0,6.0,131.0,14346.0,Luis,Norte,354,305.51739749098164,2024-10-06 22:05:04.269205,Tarjeta de Crédito,48.48260250901836,Baja,0.8630434957372363
Australia,Historical,EV stock share,Cars,EV,2017,percent,0.052000001072884,55251.07898147755,110.0,6.4928191199153,3448.0,151.71,91.0,827.27,1747.0096365552893,6.0,251.0,8549.0,Luis,Sur,308,210.54776208215202,2024-10-12 22:05:04.269205,Efectivo,97.45223791784798,Baja,0.6835966301368572
Australia,Historical,EV sales share,Cars,EV,2017,percent,0.259999990463257,54955.74545577091,591.0,6.450894569143558,1808.0,427.41,61.0,29.55232881305244,2284.0,5.0,180.0,86308.0,Carlos,Sur,192,131.27346105818532,2024-10-10 22:05:04.269205,Efectivo,60.72653894181468,Baja,0.6837159430113818
Australia,Historical,EV charging points,EV,Publicly available fast,2017,charging points,40.0,55038.64508289822,536.0,4.61,2013.406443300235,457.74,88.0,164.18,1615.0,3.0,108.0,11657.0,Carlos,Sur,191,132.6753913395449,2024-09-22 22:05:04.269205,Tarjeta de Crédito,58.32460866045511,Baja,0.6946355567515439
Australia,Historical,EV charging points,EV,Publicly available slow,2017,charging points,440.0,46786.0,386.0,8.21,504.0,77.82,52.2774331712902,150.26,1164.0,2.0,248.0,50171.1544004633,Ana,Oeste,179,124.56182947773969,2024-09-23 22:05:04.269205,Transferencia,54.43817052226031,Baja,0.6958761423337413
Australia,Historical,EV sales,Cars,BEV,2017,Vehicles,1200.0,55413.21565635451,476.0,11.21,4933.0,939.24,56.58347031986406,115.55,1748.2614782272394,2.0,268.0,50167.81496558568,Carlos,Sur,139,93.9665361842714,2024-09-23 22:05:04.269205,Transferencia,45.033463815728595,Baja,0.6760182459300101
Australia,Historical,EV stock,Cars,BEV,2017,Vehicles,3400.0,68928.0,154.0,6.99,3586.0,220.9,34.0,220.78,1148.0,3.0,81.0,64177.0,Luis,Oeste,218,184.89335852359181,2024-09-24 22:05:04.269205,Transferencia,33.106641476408186,Baja,0.8481346721265679
Australia,Historical,EV stock,Cars,BEV,2018,Vehicles,5200.0,40850.0,331.0,6.474357218026138,716.0,94.8,57.73853212758793,224.1652658009128,1791.0,6.0,120.0,64297.0,Maria,Norte,237,150.92334692285388,2024-10-16 22:05:04.269205,Tarjeta de Crédito,86.07665307714612,Baja,0.6368073709825058
Australia,Historical,EV sales,Cars,BEV,2018,Vehicles,1800.0,50339.0,404.2998537912997,8.61,2544.1896546191224,408.1926364729744,86.0,260.61,1634.0,4.480302755396679,187.082206219206,75436.0,Maria,Oeste,400,352.36083535209934,2024-10-14 22:05:04.269205,Efectivo,47.63916464790066,Baja,0.8809020883802483
Australia,Historical,EV charging points,EV,Publicly available fast,2018,charging points,61.0,75217.0,141.0,3.81,1470.0,82.91,40.0,283.69,1740.0,6.0,241.0,85957.0,Maria,Oeste,461,312.40756251473016,2024-09-25 22:05:04.269205,Transferencia,148.59243748526984,Media,0.677673671398547
Australia,Historical,EV charging points,EV,Publicly available slow,2018,charging points,670.0,61926.0,475.0,1.32,2400.0,456.0,90.0,189.47,1966.0,5.0,186.3183757431232,70709.0,Luis,Oeste,169,126.10808475319926,2024-10-15 22:05:04.269205,Tarjeta de Crédito,42.891915246800735,Baja,0.7462016849301731
Australia,Historical,EV sales share,Cars,EV,2018,percent,0.419999986886978,42010.0,198.0,5.68,3611.0,285.99,56.539174688564,308.98907491663283,1746.0430206873127,7.0,159.0,26340.0,Maria,Oeste,412,267.644861481424,2024-09-22 22:05:04.269205,Transferencia,144.35513851857598,Media,0.6496234501976311
Australia,Historical,EV stock share,Cars,EV,2018,percent,0.076999999582768,37779.0,496.0,3.38,3030.163306855831,583.89,72.0,145.16,2137.0,4.492920938764074,115.0,26221.0,Luis,Oeste,201,159.93086230366816,2024-09-24 22:05:04.269205,Tarjeta de Crédito,41.069137696331836,Baja,0.7956759318590456
Australia,Historical,EV stock,Cars,PHEV,2018,Vehicles,5700.0,55398.3564848743,225.0,6.547475945431584,4654.0,418.86,46.0,245.21078656934137,1661.0,3.0,288.0,21566.0,Ana,Este,423,255.70382880862033,2024-09-24 22:05:04.269205,Tarjeta de Crédito,167.29617119137967,Media,0.6045007773253436
Australia,Historical,EV sales,Cars,PHEV,2018,Vehicles,1800.0,59820.0,375.3286939264162,10.43,1868.0,268.24,50.0,139.28,1243.0,4.0,128.0,88457.0,Maria,Norte,232,152.9047044914363,2024-10-14 22:05:04.269205,Efectivo,79.09529550856371,Baja,0.6590720021182599
Australia,Historical,EV sales,Cars,PHEV,2019,Vehicles,2900.0,30381.0,410.0,11.57,1928.2925324105224,316.03,47.0,114.63,1091.0,4.502719569558964,251.0,50175.8616105501,Ana,Este,328,203.37568487157074,2024-10-14 22:05:04.269205,Efectivo,124.62431512842926,Media,0.6200478197303986
Australia,Historical,EV stock,Cars,PHEV,2019,Vehicles,8600.0,75517.0,285.0,4.59,2865.0,326.61,58.687846977765474,257.1974631176663,2364.0,3.0,287.0,48799.0,Luis,Oeste,462,353.12313098511385,2024-09-28 22:05:04.269205,Tarjeta de Crédito,108.87686901488615,Media,0.7643357813530602
Australia,Historical,EV stock share,Cars,EV,2019,percent,0.140000000596046,40674.0,497.0,2.93,235.0,46.72,72.0,144.87,1747.1591172240987,4.554461001541084,201.0,45354.0,Maria,Este,276,233.35956523009492,2024-09-30 22:05:04.269205,Efectivo,42.640434769905085,Baja,0.8455056711235323
Australia,Historical,EV sales share,Cars,EV,2019,percent,1.20000004768372,50543.0,425.0,3.49,1648.0,280.16,79.0,185.88,1840.0,4.0,187.1226255258107,45958.0,Luis,Este,117,81.02718818923816,2024-10-12 22:05:04.269205,Efectivo,35.97281181076184,Baja,0.6925400699934885
Australia,Historical,EV charging points,EV,Publicly available slow,2019,charging points,1700.0,44842.0,552.0,2.51,1627.0,359.24,86.0,155.8,1129.0,5.0,187.5046119241888,60405.0,Pedro,Sur,177,136.0479278430575,2024-10-17 22:05:04.269205,Tarjeta de Crédito,40.952072156942506,Baja,0.7686323606952401
Australia,Historical,EV sales,Cars,BEV,2019,Vehicles,6300.0,36934.0,427.4138199793503,6.4935125333810175,2588.0,453.42,48.0,109.59,1746.4680600027464,4.0,188.0083775922376,50173.783059291694,Luis,Sur,133,113.6916559380554,2024-10-03 22:05:04.269205,Efectivo,19.308344061944595,Baja,0.8548244807372587
Australia,Historical,EV stock,Cars,BEV,2019,Vehicles,12000.0,55314.74060709524,197.0,6.545238905956633,4078.0,321.35,64.0,324.87,1337.0,5.0,280.0,21816.0,Maria,Este,333,234.61578462162308,2024-10-12 22:05:04.269205,Efectivo,98.38421537837692,Baja,0.7045519057706399
Australia,Historical,EV stock,Cars,BEV,2020,Vehicles,17000.0,39063.0,532.0,5.65,4352.528683229079,831.84,66.35554225359515,118.42,1746.8578607483746,6.0,281.0,62813.0,Pedro,Norte,207,154.3893642600428,2024-09-28 22:05:04.269205,Efectivo,52.61063573995719,Baja,0.7458423394204967
Australia,Historical,EV sales,Cars,BEV,2020,Vehicles,5200.0,78827.0,446.2569989891264,6.456092101871087,805.8704310660817,171.27,74.0,140.68,1376.0,3.0,273.0,81716.0,Carlos,Sur,180,150.0862674316037,2024-09-25 22:05:04.269205,Tarjeta de Crédito,29.913732568396313,Baja,0.8338125968422427
Australia,Historical,EV charging points,EV,Publicly available slow,2020,charging points,2300.0,55041.20317703563,106.0,9.61,2161.0,90.72851721529788,89.0,839.62,1847.0,7.0,202.0,50168.41017018084,Maria,Norte,370,286.59588551268837,2024-09-22 22:05:04.269205,Efectivo,83.40411448731163,Baja,0.7745834743586172
Australia,Historical,EV sales share,Cars,EV,2020,percent,1.10000002384186,55294.0,435.1679548104107,2.32,1985.4375040794637,351.83,82.0,206.03,2021.0,3.0,186.78041075923608,34492.0,Pedro,Sur,424,260.24035588278343,2024-10-09 22:05:04.269205,Tarjeta de Crédito,163.75964411721657,Media,0.6137744242518477
Australia,Historical,EV stock share,Cars,EV,2020,percent,0.180000007152557,67286.0,455.0,11.6,1120.0,203.84,25.0,54.95,1741.0,7.0,227.0,94136.0,Luis,Este,410,306.4308952702279,2024-10-02 22:05:04.269205,Tarjeta de Crédito,103.5691047297721,Media,0.7473924274883608
Australia,Historical,EV stock,Cars,PHEV,2020,Vehicles,10000.0,77562.0,220.0,6.4697031268461656,4052.0,425.2614317389328,32.0,145.45,1215.0,4.505856228227257,206.0,50161.28274166503,Luis,Sur,342,255.61932878262755,2024-09-28 22:05:04.269205,Efectivo,86.38067121737245,Baja,0.7474249379608993
Australia,Historical,EV sales,Cars,PHEV,2020,Vehicles,1700.0,49289.0,572.0,6.88,241.0,55.14,64.81415451684818,47.18257620686256,1489.0,7.0,211.0,50170.44491333039,Ana,Norte,277,216.46680166572213,2024-09-28 22:05:04.269205,Efectivo,60.53319833427787,Baja,0.7814685980711991
Australia,Historical,EV sales,Cars,PHEV,2021,Vehicles,3400.0,46039.0,328.0,6.65,3605.0,478.7060427650226,55.0,167.68,1747.918576446779,2.0,218.0,65160.0,Ana,Sur,180,160.37817388605316,2024-10-02 22:05:04.269205,Tarjeta de Crédito,19.621826113946838,Baja,0.8909898549225176
Australia,Historical,EV stock,Cars,PHEV,2021,Vehicles,14000.0,55163.64517189323,517.0,11.08,2841.0937835673685,579.04,64.0,123.79,2382.0,2.0,191.0,11676.0,Pedro,Oeste,480,419.78567421701723,2024-10-02 22:05:04.269205,Tarjeta de Crédito,60.21432578298277,Baja,0.8745534879521192
Australia,Historical,EV stock,Cars,FCEV,2021,Vehicles,44.0,77833.0,517.0,11.09,3667.0,758.34,97.0,187.62,2041.0,5.0,294.0,51813.0,Maria,Norte,285,215.74197971875262,2024-09-26 22:05:04.269205,Efectivo,69.25802028124738,Baja,0.756989402521939
Australia,Historical,EV stock share,Cars,EV,2021,percent,0.319999992847443,39358.0,485.0,6.87,2809.8427957505305,539.51,44.0,90.72,1055.0,6.0,217.0,50173.00388505839,Pedro,Norte,296,199.89550760693965,2024-09-28 22:05:04.269205,Transferencia,96.10449239306035,Baja,0.6753226608342555
Australia,Historical,EV sales share,Cars,EV,2021,percent,2.79999995231628,34908.0,460.0,7.25,639.0,117.58,53.63017012722317,93.48,2086.0,4.548919253449297,93.0,10632.0,Carlos,Oeste,423,285.0509210518871,2024-10-14 22:05:04.269205,Transferencia,137.9490789481129,Media,0.6738792459855487
Australia,Historical,EV charging points,EV,Publicly available fast,2021,charging points,320.0,66088.0,128.0,6.48503818965524,3644.0,186.57,79.0,617.19,1751.4834093938575,5.0,132.0,97835.0,Pedro,Oeste,245,207.6399979670734,2024-10-18 22:05:04.269205,Efectivo,37.36000203292659,Baja,0.8475101957839731
Australia,Historical,EV charging points,EV,Publicly available slow,2021,charging points,2000.0,62955.0,259.90451091904055,2.11,1316.0,95.9525926773362,56.0,294.74,2348.0,2.0,223.0,50166.162351044186,Maria,Este,203,169.42176014611354,2024-09-25 22:05:04.269205,Tarjeta de Crédito,33.57823985388646,Baja,0.8345899514586874
Australia,Historical,EV sales,Cars,BEV,2021,Vehicles,17000.0,32787.0,463.0,6.490946124546502,3817.0,706.91,59.0,127.43,1835.0,4.0,170.0,88179.0,Maria,Este,389,280.0965437205018,2024-10-09 22:05:04.269205,Tarjeta de Crédito,108.90345627949819,Media,0.7200425288444776
Australia,Historical,EV stock,Cars,BEV,2021,Vehicles,34000.0,73191.0,296.0,2.02,1839.0,192.70386763298603,53.0,179.05,1878.0,2.0,87.0,5389.0,Luis,Este,314,254.36689244939822,2024-10-15 22:05:04.269205,Tarjeta de Crédito,59.63310755060178,Baja,0.8100856447433065
Australia,Historical,EV sales,Cars,FCEV,2021,Vehicles,44.0,41908.0,224.0,10.08,1624.0,145.51,90.0,401.79,1299.0,6.0,236.0,69399.0,Carlos,Sur,242,195.9510096817409,2024-09-20 22:05:04.269205,Transferencia,46.04899031825909,Baja,0.8097149160402517
Australia,Historical,EV sales,Cars,FCEV,2022,Vehicles,15.0,54837.0,327.0,3.42,805.0,105.29,61.0,186.54,1288.0,4.493541475331482,186.8288450048321,6200.0,Luis,Oeste,436,386.28920186852775,2024-10-01 22:05:04.269205,Tarjeta de Crédito,49.710798131472245,Baja,0.8859844079553388
Australia,Historical,EV stock,Cars,BEV,2022,Vehicles,67000.0,55954.0,525.0,6.419228918375999,3699.0,776.79,74.0,140.95,1848.0,4.466000749984493,188.0,81159.0,Pedro,Este,155,123.47809043657877,2024-10-16 22:05:04.269205,Efectivo,31.521909563421232,Baja,0.7966328415263146
Australia,Historical,EV sales,Cars,BEV,2022,Vehicles,33000.0,55039.67166088669,515.0,10.29,2520.338611137607,533.3277143925332,36.0,69.9,1270.0,4.0,91.0,89714.0,Ana,Norte,320,198.4619261067022,2024-10-17 22:05:04.269205,Transferencia,121.53807389329779,Media,0.6201935190834444
Australia,Historical,EV sales share,Cars,EV,2022,percent,5.09999990463257,41478.0,187.0,2.77,3802.0,284.39,64.0,342.25,2035.0,3.0,139.0,69215.0,Carlos,Norte,170,141.32413051395196,2024-10-13 22:05:04.269205,Transferencia,28.675869486048043,Baja,0.8313184147879527
Australia,Historical,EV stock,Cars,FCEV,2022,Vehicles,100.0,77185.0,454.0,2.57,4269.0,775.25,73.0,160.79,1289.0,4.0,231.0,16017.0,Luis,Sur,226,189.6304675349728,2024-09-26 22:05:04.269205,Transferencia,36.36953246502719,Baja,0.8390728651989947
Australia,Historical,EV stock,Cars,PHEV,2022,Vehicles,21000.0,37807.0,136.0,6.507568734118843,1564.0,85.08,99.0,727.94,1748.2439893229866,2.0,214.0,91789.0,Luis,Oeste,353,233.29697852618563,2024-09-25 22:05:04.269205,Transferencia,119.70302147381437,Media,0.6608979561648318
Australia,Historical,EV sales,Cars,PHEV,2022,Vehicles,5900.0,35272.0,262.0,6.498799530953539,2936.0,313.5375947001041,92.0,351.15,2105.0,6.0,113.0,77544.0,Luis,Norte,239,207.16680789657158,2024-10-01 22:05:04.269205,Tarjeta de Crédito,31.833192103428416,Baja,0.866806727600718
Australia,Historical,EV stock share,Cars,EV,2022,percent,0.589999973773956,39087.0,591.0,6.478680012841733,59.0,13.95,74.99067714083444,96.45,1746.5967627202388,2.0,84.0,34177.0,Maria,Sur,158,114.82741051668687,2024-10-15 22:05:04.269205,Transferencia,43.17258948331313,Baja,0.7267557627638409
Australia,Historical,EV charging points,EV,Publicly available fast,2022,charging points,470.0,55189.69565685209,194.0,11.06,3391.412117216816,324.68,36.0,185.57,2281.0,4.553644939303476,185.0,75083.0,Luis,Norte,325,246.20237572426575,2024-10-11 22:05:04.269205,Transferencia,78.79762427573425,Baja,0.7575457714592793
Australia,Historical,EV charging points,EV,Publicly available slow,2022,charging points,2100.0,31431.0,235.84111042978697,10.9,1030.0,58.92,42.0,293.71,1390.0,4.0,220.0,50175.704744907496,Ana,Sur,452,396.18067367575685,2024-09-21 22:05:04.269205,Tarjeta de Crédito,55.81932632424315,Baja,0.8765059152118514
Australia,Historical,EV charging points,EV,Publicly available fast,2023,charging points,660.0,76745.0,378.6947553025911,2.41,2645.0,408.39,60.0,192.452813841243,1988.0,6.0,132.0,43565.0,Maria,Norte,425,330.5764262206716,2024-10-06 22:05:04.269205,Transferencia,94.42357377932842,Baja,0.7778268852251096
Australia,Historical,EV charging points,EV,Publicly available slow,2023,charging points,2100.0,63744.0,579.0,6.338383483550372,3136.0,726.3,21.0,36.27,1748.1620097371226,7.0,86.0,10732.0,Maria,Sur,318,250.64290442109544,2024-09-23 22:05:04.269205,Tarjeta de Crédito,67.35709557890456,Baja,0.788185234028602
Australia,Historical,EV stock share,Cars,EV,2023,percent,1.20000004768372,54963.33923764863,127.0,6.497718485925759,1761.0,89.46,80.0,629.92,1781.0,6.0,278.0,72522.0,Maria,Este,453,302.0688657994914,2024-09-23 22:05:04.269205,Transferencia,150.9311342005086,Media,0.666818688299098
Australia,Historical,EV sales,Cars,PHEV,2023,Vehicles,11000.0,55239.03348889439,161.3726244145634,6.85,3765.0,272.59,58.0,320.44,1984.0,5.0,286.0,73233.0,Pedro,Oeste,244,168.372191526694,2024-10-02 22:05:04.269205,Transferencia,75.627808473306,Baja,0.6900499652733361
Australia,Historical,EV stock,Cars,PHEV,2023,Vehicles,31000.0,60289.0,424.0,7.35,2284.0,387.37,83.0,252.4773446066235,1095.0,3.0,272.0,97812.0,Luis,Este,143,86.63359562208876,2024-09-28 22:05:04.269205,Transferencia,56.36640437791124,Baja,0.6058293400146068
